text,label,all_old,predicao
aprovados oab tentam at tr s exames diz pesquisa sobre carreira direito,educacao,<digit><digit>% dos aprovados na oab tentam até três exames diz pesquisa sobre carreira de direito.,educacao
mil candidatos fazem fase vestibular unesp regi nesta quarta,educacao,<digit> <digit> mil candidatos fazem a <digit>ª fase do vestibular da unesp na região nesta quarta.,educacao
empresas fizeram ipo t m valor mercado r bilh e,economia,<digit> empresas que fizeram ipo em <digit><digit><digit><digit> têm valor de mercado de r$ <digit><digit> <digit> bilhões.,economia
dia enem candidatos ainda n consultaram local provas,educacao,a <digit> dia do enem <digit><digit><digit><digit> <digit><digit>% dos candidatos ainda não consultaram o local de provas.,educacao
dia enem candidatos ainda n consultaram local provas,educacao,a <digit> dias do enem <digit><digit><digit><digit> <digit><digit>% dos candidatos ainda não consultaram o local de provas.,educacao
faixa hist ria hugo moura capit flamengo sub,esporte,a <digit> e a faixa: a história de hugo moura capitão do flamengo sub-<digit><digit>.,esporte
apple est ficando descuidada produtos,economia,a apple está ficando mais descuidada com seus produtos .,economia
brasileira selecionada conhecer malala yousafzai,educacao,a brasileira selecionada para conhecer malala yousafzai.,educacao
c mera fotogr fica pl stico virou cult inspirou instagram,economia,a câmera fotográfica de plástico que virou cult e inspirou o instagram.,economia
cara espelho reflete inacabado disco mar lia d voz ary jobim,musica,a cara do espelho reflete inacabado disco de <digit><digit><digit><digit> em que marília dá voz a ary e jobim.,musica
complicada resolu ano novo fundador facebook mark zuckerberg,economia,a complicada resolução de ano novo do fundador do facebook mark zuckerberg.,economia
contribui temer poderia dar,politica,a contribuição que temer poderia dar.,politica
cor som dispara alvo certo single djavan lbum ano grupo,musica,a cor do som dispara alvo certo single com djavan do álbum dos <digit><digit> anos do grupo.,musica
crise alckmin jo doria,politica,a crise entre alckmin e joão doria.,politica
cr nica sa anunciada acabou rela nen vasco,esporte,a crônica de uma saída anunciada: por que acabou a relação nenê-vasco .,esporte
cr nica rebaixamento anunciado,politica,a crônica do rebaixamento anunciado.,economia
curiosa hist ria tr s logo famoso mundo,economia,a curiosa história por trás do logo mais famoso do mundo.,esporte
decis respeito n aceito mentira diz lula discurso sp,politica,a decisão eu respeito o que não aceito é a mentira diz lula em discurso em sp.,politica
escola brit nica deu volta cima incluir m sica toda disciplinas,educacao,a escola britânica que deu a volta por cima ao incluir música em todas as disciplinas.,educacao
escolha novo presidente grande aposta,politica,a escolha do novo presidente a grande aposta para <digit><digit><digit><digit>.,politica
espera sa candidatos recife parentes compartilham ansiedade dia enem,educacao,à espera da saída de candidatos no recife parentes compartilham ansiedade no <digit>º dia do enem <digit><digit><digit><digit>.,educacao
espera an ncio vald via treina academia ct s paulo,esporte,à espera de anúncio valdívia treina na academia do ct do são paulo.,esporte
espera paul vasco quer fechar elenco ante estreia libertadores,esporte,à espera de paulão vasco quer fechar elenco antes de estreia na libertadores.,esporte
espera rival vasco monta log sticas diferentes enfrentar boliviano,esporte,à espera de rival vasco monta logísticas diferentes para enfrentar bolivianos.,esporte
esperan democrata,politica,a esperança democrata.,esporte
fintechs brasil,economia,a força das fintechs no brasil.,economia
hist ria caminhoneiro assumiu crossdresser roda brasil salto alto,carros,a história do caminhoneiro que se assumiu crossdresser e roda o brasil de salto alto,economia
hist ria caminhoneiro assumiu crossdresser roda brasil salto alto,economia,a história do caminhoneiro que se assumiu crossdresser e roda o brasil de salto alto.,economia
incr vel quantidade dinheiro milion rio dizem precisar serem felizes,economia,a incrível quantidade de dinheiro que os milionários dizem precisar para serem felizes.,economia
jovem breve jornada musical paulo silvino comediante cantor,musica,a jovem e breve jornada musical de paulo silvino o comediante cantor.,musica
la rom rio romarinho marca primeira vez figueirense,esporte,à la romário romarinho marca pela primeira vez pelo figueirense.,esporte
luta tr s irm s tentam manter vivo idioma s sabem falar,educacao,a luta de três irmãs que tentam manter vivo idioma que só elas sabem falar.,educacao
menina indica livros ganha pr mio v deos youtube e incentivo leitura,educacao,a menina que indica livros ganha prêmio por vídeos no youtube e ações de incentivo à leitura.,musica
montadora chinesa virou maior acionista dona mercedes preocupa alemanha,carros,a montadora chinesa que virou a maior acionista da dona da mercedes - e preocupa a alemanha,carros
montanha m gica davos,politica,a montanha sem mágica de davos.,politica
mulher disfar menina ano revelar ped filos atuam internet,economia,a mulher que se disfarçou de menina de <digit><digit> anos para revelar como os pedófilos atuam na internet.,educacao
neurocientista ano faz sucesso ensinando ci ncia internet,educacao,a neurocientista de <digit> anos que faz sucesso ensinando ciência na internet.,educacao
n voa vida,politica,a névoa da vida.,esporte
nova revolu educacional finl ndia quer preparar alunos digital,educacao,a nova revolução educacional com que a finlândia quer preparar alunos para era digital.,educacao
origem dinheiro muda percep risco,economia,a origem do dinheiro muda sua percepção de risco.,economia
outra face deus guerra deiveson figueiredo mostra habilidade cozinha,esporte,a outra face do deus da guerra: deiveson figueiredo mostra habilidade na cozinha.,esporte
pedido temer meirelles dyogo v explicar estudos mudar regra ouro gastos p blicos,politica,a pedido de temer meirelles e dyogo vão explicar estudos para mudar regra de ouro de gastos públicos.,politica
pol mica orienta igreja anglicana escolas deixem crian vestir roupas identificadas outro g nero,educacao,a polêmica orientação da igreja anglicana para que escolas deixem crianças vestir roupas identificadas com outro gênero.,educacao
pol mica reforma educacional turquia deixou ensinar evolu agora fala jihad,educacao,a polêmica reforma educacional na turquia que deixou de ensinar evolução e agora fala de jihad.,educacao
publicidade conte sexual realmente vende,economia,a publicidade com conteúdo sexual realmente vende .,educacao
quatro dia enem inscritos ainda n sabem local provas,educacao,a quatro dias do enem <digit><digit>% dos inscritos ainda não sabem local de provas.,educacao
reforma previd ncia pauta urgente pode esperar,politica,a reforma da previdência é uma pauta urgente ou pode esperar .,politica
revolta aplicativos,politica,a revolta dos aplicativos.,politica
semana lula condenado trf enquadrado lei ficha limpa,politica,a semana em que lula foi condenado pelo trf-<digit> e enquadrado na lei da ficha limpa.,politica
semifinal boavista bangu clique veja confronto imagens,esporte,a semifinal entre boavista e bangu em cliques veja o confronto em imagens.,esporte
temer ministros descartam pedido uso ex rcito julgamento lula,politica,a temer ministros descartam pedido para uso do exército em julgamento de lula.,politica
tr gica hist ria tr s zombie sucesso cranberry composto dolores oriordan,musica,a trágica história por trás de zombie sucesso do cranberries composto por dolores oriordan.,musica
semana olimp ada lindsey vonn ganha ouro copas mundo,esporte,a uma semana da olimpíada lindsey vonn ganha <digit><digit>º ouro em copas do mundo.,esporte
semana enem estudantes rio branco contam est preparando provas,educacao,a uma semana do enem estudantes em rio branco contam como estão se preparando para as provas.,educacao
vi passado sempre rom ntica realidade,economia,a visão do passado é sempre muito mais romântica do que a realidade.,musica
volta lugano s paulo veja fotos agora dirigente vesti rio,esporte,a volta de lugano ao são paulo: veja fotos do agora dirigente no vestiário.,esporte
volta drible,esporte,a volta do drible.,esporte
voz torcida conhe hist ria m sicas fazem sucesso rio,esporte,a voz da torcida: conheça a história das músicas que fazem sucesso no rio.,musica
aaron carter anuncia vir brasil maio,musica,aaron carter anuncia que virá ao brasil em maio.,carros
aaron carter assume bissexual desabafo internet,musica,aaron carter assume ser bissexual em desabafo na internet.,musica
abad promete refor diz h movimento pol tico prejudicar flu,esporte,abad promete reforços e diz que há movimento político para prejudicar o flu.,esporte
abate su trimestre melhor resultado desde diz ibge,economia,abate de suínos no <digit>º trimestre tem o melhor resultado desde <digit><digit><digit><digit> diz ibge.,economia
abel brinca sobre dourado fla jogar contra vai sobrar pancada,esporte,abel brinca sobre dourado no fla: quando jogar contra vai sobrar pancada.,esporte
abel diz flu mereceu vit ria pede uni s not cia ruim,esporte,abel diz que flu mereceu vitória e pede união: só tem notícia ruim.,esporte
abel reconhece m atua acha imposs vel flu passar fase ta gb,esporte,abel reconhece má atuação e acha impossível flu passar de fase na taça gb.,esporte
abertas inscri e mil vagas col gios militares goi s veja edital,educacao,abertas as inscrições para <digit> <digit> mil vagas em colégios militares de goiás veja edital.,educacao
abertas inscri e vagas cursos t cnicos integrados ensino m dio jovens adultos ifg,educacao,abertas as inscrições para <digit><digit><digit> vagas em cursos técnicos integrados ao ensino médio para jovens e adultos no ifg.,educacao
abertas inscri e concurso p blico educa alagoas,educacao,abertas as inscrições para o concurso público da educação de alagoas.,educacao
abertas inscri e mil vagas cursos t cnicos gratuitos mediotec,educacao,abertas inscrições para <digit><digit><digit> mil vagas em cursos técnicos gratuitos do mediotec.,educacao
aberto austr lia tira teima bola menos dentro hist ria,esporte,aberto da austrália tem tira-teima com bola menos dentro da história.,esporte
abertura ano judici rio,politica,abertura do ano judiciário <digit><digit><digit><digit>.,musica
abin abre concurso p blico vagas,economia,abin abre concurso público para <digit><digit><digit> vagas.,economia
abin confirma concurso escolhe cebraspe organizadora,economia,abin confirma concurso e escolhe cebraspe como organizadora.,economia
abin encerra inscri e vagas,economia,abin encerra as inscrições para <digit><digit><digit> vagas.,economia
abin prorroga inscri e concurso vagas,economia,abin prorroga inscrições de concurso para <digit><digit><digit> vagas.,economia
abin petrobras transpetro tj sp abrem inscri e concursos mil vagas,economia,abin petrobras transpetro e tj-sp abrem inscrições de concursos para <digit> <digit> mil vagas.,economia
aborto plano sa porte arma est pauta congresso desta semana,politica,aborto plano de saúde e porte de arma estão na pauta do congresso desta semana.,politica
absten aumenta terceiro dia vestibular ufrgs,educacao,abstenção aumenta para <digit><digit> <digit><digit>% no terceiro dia de vestibular da ufrgs.,educacao
absten enem goi s dia aumenta chega diz inep,educacao,abstenção do enem em goiás no <digit>º dia aumenta e chega a <digit><digit>% diz inep.,educacao
absten fase unicamp supera ano,educacao,abstenção na <digit>ª fase da unicamp é de <digit><digit> <digit>% e supera ano de <digit><digit><digit><digit>.,educacao
absten primeiro dia vestibular ufrgs chega,educacao,abstenção no primeiro dia de vestibular da ufrgs chega a <digit><digit> <digit><digit>%.,educacao
abuso sexual transtorno bipolar marcaram dif cil vida dolores oriordan vocalista cranberry,musica,abuso sexual e transtorno bipolar marcaram a difícil vida de dolores oriordan vocalista do cranberries.,musica
academia abre espa pet treinarem donos,economia,academia abre espaço para pets treinarem com os donos.,economia
acad micos volunt rio v local prova enem distribuir abra afeto canetas m,educacao,acadêmicos voluntários vão a local de prova do enem para distribuir abraços afeto e canetas em ms .,educacao
acafe divulga resultado vestibular inverno,educacao,acafe divulga resultado do vestibular de inverno <digit><digit><digit><digit>.,educacao
acafe divulga resultado vestibular ver,educacao,acafe divulga resultado do vestibular de verão <digit><digit><digit><digit>.,educacao
snap chega subir quase ap s salto crescimento usu rio,economia,ação da snap chega a subir quase <digit><digit>% após salto no crescimento de usuários.,economia
mp sp contra decis administrativa dodge gera estranheza pgr,politica,ação do mp-sp contra decisão administrativa de dodge gera estranheza na pgr.,politica
acb desembarca s paulo mar rodolfo vieira card,esporte,acb desembarca em são paulo em <digit> de março com rodolfo vieira no card.,esporte
achei feito algo errado diz jovem gabaritar vestibular uerj,educacao,achei que tinha feito algo errado diz <digit>º jovem a gabaritar vestibular da uerj.,educacao
acho at estudei pouco diz jovem ano aprovada medicina usp,educacao,acho até que estudei pouco diz jovem de <digit><digit> anos aprovada em medicina na usp.,educacao
acho linda possibilidade salvar vidas fazer bem diz jovem lugar medicina ufpe,educacao,acho linda a possibilidade de salvar vidas e fazer o bem diz jovem <digit>º lugar em medicina na ufpe.,educacao
acho n perfil t cnico diz grafite ap s indicar aposentadoria,esporte,acho que não tenho perfil para técnico diz grafite após indicar aposentadoria.,esporte
acidente tesla mclaren senna leiloada outros destaques semana carros,carros,acidente com tesla mclaren de senna leiloada e outros destaques da semana em carros,carros
acidentes estradas federais caem feriado semana santa diz pol cia,carros,acidentes em estradas federais caem <digit><digit>% no feriado da semana santa diz polícia,carros
acidentes estradas federais caem feriado corpus christi diz pol cia,carros,acidentes em estradas federais caem <digit><digit> <digit>% no feriado de corpus christi diz polícia,carros
acidentes graf rodovias federais caem n mero multas sobe,carros,acidentes graves em rodovias federais caem <digit> <digit>% em <digit><digit><digit><digit> número de multas sobe,carros
acionistas eletrobras aprovam maior prazo venda distribuidoras,economia,acionistas da eletrobras aprovam maior prazo para venda de <digit> distribuidoras.,economia
acionistas locamerica aprovam incorpora auto ricci,economia,acionistas da locamerica aprovam incorporação da auto ricci.,economia
acionistas oi decidem processar diretores elegem substitutos empresa contesta,economia,acionistas da oi decidem processar diretores e elegem substitutos empresa contesta.,economia
acionistas petrobras pedem extens acordo eua investidores brasil,economia,acionistas da petrobras pedem extensão do acordo nos eua a investidores no brasil.,economia
e apple caem not cia sobre corte produ iphone x,economia,ações da apple caem com notícia sobre corte de produção de iphone x.,economia
e embraer disparam po vel fus bovespa sobe,economia,ações da embraer disparam com possível fusão bovespa sobe mais de <digit>%.,economia
e embraer t m forte alta ap s not cia sobre acordo boeing,economia,ações da embraer têm forte alta após notícia sobre acordo com boeing.,economia
e petrobras ny batem recorde anual durante julgamento lula,economia,ações da petrobras em ny batem recorde anual durante julgamento de lula.,economia
e eua batem recordes acordo senadores encerrar paralisa governo,economia,ações dos eua batem recordes com acordo de senadores para encerrar paralisação no governo.,economia
e europeias registram melhor ano desde tecnologia minera,economia,ações europeias registram melhor ano desde <digit><digit><digit><digit> com tecnologia e mineração.,economia
acolher dor ap s trag dia creche mg desafio psic logo dizem especialistas programa sobre carreira,educacao,acolher a dor após tragédia como a da creche mg é desafio para o psicólogo dizem especialistas em programa sobre a carreira.,educacao
acompanhado marquezine neymar comemora ano festa gala,esporte,acompanhado de marquezine neymar comemora <digit><digit> anos com festa de gala.,esporte
acompanhe vasco x vit ria,esporte,acompanhe vasco x vitória.,esporte
acordo automotivo brasil col mbia entra vigor,carros,acordo automotivo entre brasil e colômbia entra em vigor,carros
acordo automotivo brasil col mbia entra vigor,economia,acordo automotivo entre brasil e colômbia entra em vigor.,carros
acordo airbus pausou encomendas c series diz executivo bombardier,economia,acordo com airbus pausou encomendas do c series diz executivo da bombardier.,economia
acordo kroton p gina virada est cio deve partir aquisi e diz presidente conselho,educacao,acordo com kroton é página virada e estácio deve partir para aquisições diz presidente do conselho.,economia
acordo petrobras eua saiu melhor esperado dizem analistas,economia,acordo da petrobras nos eua saiu melhor que o esperado dizem analistas.,economia
acordo petrobras encerrar ny ainda n resolve tudo,economia,acordo da petrobras para encerrar ação em ny ainda não resolve tudo.,economia
acordo petrobras encerrar eua reduz incertezas diz fitch,economia,acordo da petrobras para encerrar ação nos eua reduz incertezas diz fitch.,economia
acordo leni ncia odebrecht coloca psdb defensiva,politica,acordo de leniência da odebrecht coloca psdb na defensiva.,politica
acordo inter mil benfica trava an ncio gabigol santos,esporte,acordo entre inter de milão e benfica trava anúncio de gabigol pelo santos.,esporte
acordo uni europeia mercosul adiado,economia,acordo entre união europeia e mercosul é adiado para <digit><digit><digit><digit>.,economia
